User,Text,Creation_Date,SCNLP_MC_Very_Negative,SCNLP_MC_Negative,SCNLP_MC_Neutral,SCNLP_MC_Positive,SCNLP_MC_Very_Positive,TB_MC_Polarity,TB_MC_Subjectivity,VD_MC_Positive,VD_MC_Compound,VD_MC_Neutral,VD_MC_Negative
nb240273,with positive news of stake sale to come up in next 15 days this chair is poised for a really and easily cross rupees 185 also remember big bull has purchased this share at rupees 170 odd,2019-07-24 08:52:00,0.06886820787694,0.31149429150301,0.2533144817829,0.30093077749885,0.06539224133831,0.043434343434343436,0.18257575757575753,0.245,0.8166,0.703,0.052
Kannanfrom1993inmarket,I donno why my informative posts are not getting published at all. Does this admins a part of the syndicate to bring the stock down ?,2019-07-24 08:46:00,0.13754776714477,0.55696151213389,0.20586290986515,0.07219103232504,0.02743677853114,-0.15555555555555559,0.2888888888888889,0.0,0.0,1.0,0.0
sultanapur,buy above 95 tgt 108......................... ....................,2019-07-24 08:38:00,0.02248234930994,0.11929154987887,0.43694165912094,0.37173147189261,0.04955296979765,0.0,0.1,0.0,0.0,1.0,0.0
ursay,keep buying anything below 90.... accumulate.... average...,2019-07-24 08:33:00,0.1078305423261,0.5898122968575,0.25666229351507,0.03593362387224,0.00976124342909,-0.15,0.39999999999999997,0.0,0.0,1.0,0.0
vickyvick,why 79 ? any strong reason .? ..................? tell us,2019-07-24 08:33:00,0.03580819635659,0.320125876933,0.58543060370427,0.05136583374706,0.00726948925907,0.4333333333333333,0.7333333333333333,0.324,0.5913,0.676,0.0
MAK9,Today may see 79 level... Maximum 10 words.... ............,2019-07-24 08:28:00,0.06372978403379,0.31559429540115,0.34409713964948,0.22347505388866,0.05310372702692,0.0,0.0,0.0,0.0,1.0,0.0
vishal2020,"bro, there isn`t any point to explain these shorters. actually they aren`t shorters. they just looking an opportunity to buy this at cheapest price. and at the end of the day, they will miss the bus. that time they will not hesitate to buy ... ",2019-07-24 08:25:00,0.13523868186515,0.59003565139047,0.2260304889333,0.03324690513249,0.01544827267859,0.0,0.1,0.096,0.4614,0.871,0.033
arinr,buy call given by zee business....... min 10 words,2019-07-24 07:59:00,0.0561445953851,0.42443195771777,0.44042208884252,0.06748286679892,0.01151849125569,0.0,0.0,0.0,0.0,1.0,0.0
knath2017,Always an Investor must check Risk Reward Ratio. What maximum Risk Market predict is 80. But Reward is 150. The coming News is also very favourable. DHFL stake sell. Zee ESSEL group reported Profit rise of 63% and 20% stake sell also. ADAG ... ,2019-07-24 07:49:00,0.08997958160227,0.50557334986626,0.18839931433624,0.17371156785252,0.04233618634271,0.2,0.3,0.211,0.8793,0.731,0.058
Tgram1_ProfitBaba,For free stock mkt whatzzappp group. search on tele- gram @profitBaba,2019-07-23 20:24:00,0.04131335102603,0.30562921770761,0.54195190927958,0.09984700927845,0.01125851270833,0.4,0.8,0.248,0.5106,0.752,0.0
